Generacion	x1	x2	Fitness_Padre	Sigma_Usado
0	-0.95704392	0.64191536	0.57470364	3.00000000
1	-0.95704392	0.64191536	0.57470364	3.00000000
2	-0.95704392	0.64191536	0.57470364	3.00000000
3	-0.95704392	0.64191536	0.57470364	3.00000000
4	-0.95704392	0.64191536	0.57470364	3.00000000
5	-0.95704392	0.64191536	0.57470364	3.00000000
6	-0.95704392	0.64191536	0.57470364	3.00000000
7	-0.95704392	0.64191536	0.57470364	3.00000000
8	-0.95704392	0.64191536	0.57470364	3.00000000
9	-0.95704392	0.64191536	0.57470364	3.00000000
10	-0.95704392	0.64191536	0.57470364	3.00000000
11	-0.95704392	0.64191536	0.57470364	3.00000000
12	-0.95704392	0.64191536	0.57470364	3.00000000
13	-0.95704392	0.64191536	0.57470364	3.00000000
14	-0.95704392	0.64191536	0.57470364	3.00000000
15	-0.95704392	0.64191536	0.57470364	3.00000000
16	-0.95704392	0.64191536	0.57470364	3.00000000
17	-0.95704392	0.64191536	0.57470364	3.00000000
18	-0.95704392	0.64191536	0.57470364	3.00000000
19	-0.95704392	0.64191536	0.57470364	3.00000000
20	-0.95704392	0.64191536	0.57470364	3.00000000
21	-0.28475918	-0.03891726	0.31575391	3.00000000
22	-0.28475918	-0.03891726	0.31575391	2.70000000
23	-0.28475918	-0.03891726	0.31575391	2.70000000
24	-0.28475918	-0.03891726	0.31575391	2.43000000
25	-0.28475918	-0.03891726	0.31575391	2.43000000
26	-0.28475918	-0.03891726	0.31575391	2.18700000
27	-0.28475918	-0.03891726	0.31575391	2.18700000
28	-0.28475918	-0.03891726	0.31575391	1.96830000
29	-0.28475918	-0.03891726	0.31575391	1.96830000
30	-0.28475918	-0.03891726	0.31575391	1.77147000
31	-0.28475918	-0.03891726	0.31575391	1.77147000
32	-0.28475918	-0.03891726	0.31575391	1.59432300
33	-0.28475918	-0.03891726	0.31575391	1.59432300
34	-0.28475918	-0.03891726	0.31575391	1.43489070
35	0.10855667	0.45109328	-0.55249948	1.43489070
36	0.10807647	0.85262940	-0.65534067	1.29140163
37	0.10807647	0.85262940	-0.65534067	1.29140163
38	0.10807647	0.85262940	-0.65534067	1.16226147
39	0.10807647	0.85262940	-0.65534067	1.16226147
40	0.10807647	0.85262940	-0.65534067	1.04603532
41	0.10807647	0.85262940	-0.65534067	1.04603532
42	0.10807647	0.85262940	-0.65534067	0.94143179
43	0.10807647	0.85262940	-0.65534067	0.94143179
44	0.10807647	0.85262940	-0.65534067	0.84728861
45	0.10807647	0.85262940	-0.65534067	0.84728861
46	0.10807647	0.85262940	-0.65534067	0.76255975
47	0.10807647	0.85262940	-0.65534067	0.76255975
48	0.10807647	0.85262940	-0.65534067	0.68630377
49	0.10807647	0.85262940	-0.65534067	0.68630377
50	0.10807647	0.85262940	-0.65534067	0.61767340
51	0.10807647	0.85262940	-0.65534067	0.61767340
52	0.10807647	0.85262940	-0.65534067	0.55590606
53	0.10807647	0.85262940	-0.65534067	0.55590606
54	-0.17915733	0.88566918	-0.70888124	0.50031545
55	-0.17915733	0.88566918	-0.70888124	0.50031545
56	-0.17915733	0.88566918	-0.70888124	0.45028391
57	-0.17915733	0.88566918	-0.70888124	0.45028391
58	-0.17915733	0.88566918	-0.70888124	0.40525552
59	-0.17915733	0.88566918	-0.70888124	0.40525552
60	-0.17915733	0.88566918	-0.70888124	0.36472996
61	-0.17915733	0.88566918	-0.70888124	0.36472996
62	-0.17915733	0.88566918	-0.70888124	0.32825697
63	-0.17915733	0.88566918	-0.70888124	0.32825697
64	0.00981791	0.57645611	-0.88146391	0.29543127
65	0.00981791	0.57645611	-0.88146391	0.29543127
66	0.00981791	0.57645611	-0.88146391	0.26588814
67	0.00981791	0.57645611	-0.88146391	0.26588814
68	0.00981791	0.57645611	-0.88146391	0.23929933
69	-0.02285729	0.77946311	-0.96944820	0.23929933
70	-0.02285729	0.77946311	-0.96944820	0.21536940
71	0.01913716	0.67663102	-0.97847317	0.21536940
72	0.01913716	0.67663102	-0.97847317	0.19383246
73	0.01913716	0.67663102	-0.97847317	0.19383246
74	0.01913716	0.67663102	-0.97847317	0.17444921
75	0.01913716	0.67663102	-0.97847317	0.17444921
76	0.01913716	0.67663102	-0.97847317	0.15700429
77	0.01913716	0.67663102	-0.97847317	0.15700429
78	0.01913716	0.67663102	-0.97847317	0.14130386
79	-0.10397529	0.69385203	-1.02776575	0.14130386
80	-0.10397529	0.69385203	-1.02776575	0.12717347
81	-0.10397529	0.69385203	-1.02776575	0.12717347
82	-0.10397529	0.69385203	-1.02776575	0.12717347
83	-0.10397529	0.69385203	-1.02776575	0.12717347
84	-0.10397529	0.69385203	-1.02776575	0.12717347
85	-0.10397529	0.69385203	-1.02776575	0.12717347
86	-0.10397529	0.69385203	-1.02776575	0.12717347
87	-0.10397529	0.69385203	-1.02776575	0.12717347
88	-0.10397529	0.69385203	-1.02776575	0.12717347
89	-0.10397529	0.69385203	-1.02776575	0.12717347
90	-0.10397529	0.69385203	-1.02776575	0.12717347
91	-0.10397529	0.69385203	-1.02776575	0.12717347
92	-0.10397529	0.69385203	-1.02776575	0.12717347
93	-0.10397529	0.69385203	-1.02776575	0.12717347
94	-0.10397529	0.69385203	-1.02776575	0.12717347
95	-0.10397529	0.69385203	-1.02776575	0.12717347
96	-0.10397529	0.69385203	-1.02776575	0.12717347
97	-0.10397529	0.69385203	-1.02776575	0.12717347
98	-0.10397529	0.69385203	-1.02776575	0.12717347
99	-0.10397529	0.69385203	-1.02776575	0.12717347
100	-0.10397529	0.69385203	-1.02776575	0.12717347
101	-0.10397529	0.69385203	-1.02776575	0.12717347
102	-0.10397529	0.69385203	-1.02776575	0.11445613
103	-0.10397529	0.69385203	-1.02776575	0.11445613
104	-0.10397529	0.69385203	-1.02776575	0.10301051
105	-0.10397529	0.69385203	-1.02776575	0.10301051
106	-0.10397529	0.69385203	-1.02776575	0.09270946
107	-0.10397529	0.69385203	-1.02776575	0.09270946
108	-0.10397529	0.69385203	-1.02776575	0.08343852
109	-0.10397529	0.69385203	-1.02776575	0.08343852
110	-0.10397529	0.69385203	-1.02776575	0.07509467
111	-0.10397529	0.69385203	-1.02776575	0.07509467
112	-0.10397529	0.69385203	-1.02776575	0.06758520
113	-0.10397529	0.69385203	-1.02776575	0.06758520
114	-0.10397529	0.69385203	-1.02776575	0.06082668
115	-0.10397529	0.69385203	-1.02776575	0.06082668
116	-0.10397529	0.69385203	-1.02776575	0.05474401
117	-0.10397529	0.69385203	-1.02776575	0.05474401
118	-0.10397529	0.69385203	-1.02776575	0.04926961
119	-0.10397529	0.69385203	-1.02776575	0.04926961
120	-0.10397529	0.69385203	-1.02776575	0.04434265
121	-0.10397529	0.69385203	-1.02776575	0.04434265
122	-0.10397529	0.69385203	-1.02776575	0.03990838
123	-0.10397529	0.69385203	-1.02776575	0.03990838
124	-0.10397529	0.69385203	-1.02776575	0.03591755
125	-0.10397529	0.69385203	-1.02776575	0.03591755
126	-0.10397529	0.69385203	-1.02776575	0.03232579
127	-0.10397529	0.69385203	-1.02776575	0.03232579
128	-0.08689500	0.72630377	-1.03000001	0.02909321
129	-0.08689500	0.72630377	-1.03000001	0.02909321
130	-0.08689500	0.72630377	-1.03000001	0.02618389
131	-0.08689500	0.72630377	-1.03000001	0.02618389
132	-0.08689500	0.72630377	-1.03000001	0.02356550
133	-0.08689500	0.72630377	-1.03000001	0.02356550
134	-0.08689500	0.72630377	-1.03000001	0.02120895
135	-0.08689500	0.72630377	-1.03000001	0.02120895
136	-0.08689500	0.72630377	-1.03000001	0.01908806
137	-0.08689500	0.72630377	-1.03000001	0.01908806
138	-0.08689500	0.72630377	-1.03000001	0.01717925
139	-0.08689500	0.72630377	-1.03000001	0.01717925
140	-0.08689500	0.72630377	-1.03000001	0.01546133
141	-0.08689500	0.72630377	-1.03000001	0.01546133
142	-0.10016084	0.71882871	-1.03096320	0.01391519
143	-0.09424622	0.71126805	-1.03153103	0.01391519
144	-0.09424622	0.71126805	-1.03153103	0.01252367
145	-0.09424622	0.71126805	-1.03153103	0.01252367
146	-0.09059865	0.71423113	-1.03160706	0.01127131
147	-0.09059865	0.71423113	-1.03160706	0.01127131
148	-0.09059865	0.71423113	-1.03160706	0.01014418
149	-0.09059865	0.71423113	-1.03160706	0.01014418
150	-0.09059865	0.71423113	-1.03160706	0.00912976
151	-0.09059865	0.71423113	-1.03160706	0.00912976
152	-0.09059865	0.71423113	-1.03160706	0.00821678
153	-0.09059865	0.71423113	-1.03160706	0.00821678
154	-0.09059865	0.71423113	-1.03160706	0.00739510
155	-0.09059865	0.71423113	-1.03160706	0.00739510
156	-0.09059865	0.71423113	-1.03160706	0.00665559
157	-0.09059865	0.71423113	-1.03160706	0.00665559
158	-0.09059865	0.71423113	-1.03160706	0.00599003
159	-0.09059865	0.71423113	-1.03160706	0.00599003
160	-0.09059865	0.71423113	-1.03160706	0.00539103
161	-0.09059865	0.71423113	-1.03160706	0.00539103
162	-0.09059865	0.71423113	-1.03160706	0.00485193
163	-0.09059865	0.71423113	-1.03160706	0.00485193
164	-0.09059865	0.71423113	-1.03160706	0.00436674
165	-0.09059865	0.71423113	-1.03160706	0.00436674
166	-0.09059865	0.71423113	-1.03160706	0.00393006
167	-0.09059865	0.71423113	-1.03160706	0.00393006
168	-0.09059865	0.71423113	-1.03160706	0.00353706
169	-0.09059865	0.71423113	-1.03160706	0.00353706
170	-0.09059865	0.71423113	-1.03160706	0.00318335
171	-0.09059865	0.71423113	-1.03160706	0.00318335
172	-0.09059865	0.71423113	-1.03160706	0.00286501
173	-0.09059865	0.71423113	-1.03160706	0.00286501
174	-0.09057146	0.71404378	-1.03161160	0.00257851
175	-0.09057146	0.71404378	-1.03161160	0.00257851
176	-0.09057146	0.71404378	-1.03161160	0.00232066
177	-0.08931936	0.71393118	-1.03161339	0.00232066
178	-0.09115100	0.71318946	-1.03162014	0.00208860
179	-0.09115100	0.71318946	-1.03162014	0.00208860
180	-0.09115100	0.71318946	-1.03162014	0.00187974
181	-0.09115100	0.71318946	-1.03162014	0.00187974
182	-0.09115100	0.71318946	-1.03162014	0.00169176
183	-0.09115100	0.71318946	-1.03162014	0.00169176
184	-0.09115100	0.71318946	-1.03162014	0.00152259
185	-0.08960501	0.71283412	-1.03162793	0.00152259
186	-0.08960501	0.71283412	-1.03162793	0.00137033
187	-0.08960501	0.71283412	-1.03162793	0.00137033
188	-0.08960501	0.71283412	-1.03162793	0.00123329
189	-0.08960501	0.71283412	-1.03162793	0.00123329
190	-0.08960501	0.71283412	-1.03162793	0.00110997
191	-0.08960501	0.71283412	-1.03162793	0.00110997
192	-0.08960501	0.71283412	-1.03162793	0.00099897
193	-0.08960501	0.71283412	-1.03162793	0.00099897
194	-0.08960501	0.71283412	-1.03162793	0.00089907
195	-0.08960501	0.71283412	-1.03162793	0.00089907
196	-0.08960501	0.71283412	-1.03162793	0.00080916
197	-0.08960501	0.71283412	-1.03162793	0.00080916
198	-0.08960501	0.71283412	-1.03162793	0.00072825
199	-0.08960501	0.71283412	-1.03162793	0.00072825
200	-0.08960501	0.71283412	-1.03162793	0.00065542

--- ESTADISTICAS DE ESTA CORRIDA ---
Mejor f(x) (padre) encontrado en la corrida: -1.03162793
Peor f(x) (evaluado) encontrado en la corrida: 162.90000000
Fitness final del padre: -1.03162793
